seq,HOTA(0),LocA(0),HOTALocA(0),HOTA___5,HOTA___10,HOTA___15,HOTA___20,HOTA___25,HOTA___30,HOTA___35,HOTA___40,HOTA___45,HOTA___50,HOTA___55,HOTA___60,HOTA___65,HOTA___70,HOTA___75,HOTA___80,HOTA___85,HOTA___90,HOTA___95,HOTA___AUC,DetA___5,DetA___10,DetA___15,DetA___20,DetA___25,DetA___30,DetA___35,DetA___40,DetA___45,DetA___50,DetA___55,DetA___60,DetA___65,DetA___70,DetA___75,DetA___80,DetA___85,DetA___90,DetA___95,DetA___AUC,AssA___5,AssA___10,AssA___15,AssA___20,AssA___25,AssA___30,AssA___35,AssA___40,AssA___45,AssA___50,AssA___55,AssA___60,AssA___65,AssA___70,AssA___75,AssA___80,AssA___85,AssA___90,AssA___95,AssA___AUC,DetRe___5,DetRe___10,DetRe___15,DetRe___20,DetRe___25,DetRe___30,DetRe___35,DetRe___40,DetRe___45,DetRe___50,DetRe___55,DetRe___60,DetRe___65,DetRe___70,DetRe___75,DetRe___80,DetRe___85,DetRe___90,DetRe___95,DetRe___AUC,DetPr___5,DetPr___10,DetPr___15,DetPr___20,DetPr___25,DetPr___30,DetPr___35,DetPr___40,DetPr___45,DetPr___50,DetPr___55,DetPr___60,DetPr___65,DetPr___70,DetPr___75,DetPr___80,DetPr___85,DetPr___90,DetPr___95,DetPr___AUC,AssRe___5,AssRe___10,AssRe___15,AssRe___20,AssRe___25,AssRe___30,AssRe___35,AssRe___40,AssRe___45,AssRe___50,AssRe___55,AssRe___60,AssRe___65,AssRe___70,AssRe___75,AssRe___80,AssRe___85,AssRe___90,AssRe___95,AssRe___AUC,AssPr___5,AssPr___10,AssPr___15,AssPr___20,AssPr___25,AssPr___30,AssPr___35,AssPr___40,AssPr___45,AssPr___50,AssPr___55,AssPr___60,AssPr___65,AssPr___70,AssPr___75,AssPr___80,AssPr___85,AssPr___90,AssPr___95,AssPr___AUC,LocA___5,LocA___10,LocA___15,LocA___20,LocA___25,LocA___30,LocA___35,LocA___40,LocA___45,LocA___50,LocA___55,LocA___60,LocA___65,LocA___70,LocA___75,LocA___80,LocA___85,LocA___90,LocA___95,LocA___AUC,OWTA___5,OWTA___10,OWTA___15,OWTA___20,OWTA___25,OWTA___30,OWTA___35,OWTA___40,OWTA___45,OWTA___50,OWTA___55,OWTA___60,OWTA___65,OWTA___70,OWTA___75,OWTA___80,OWTA___85,OWTA___90,OWTA___95,OWTA___AUC,HOTA_TP___5,HOTA_TP___10,HOTA_TP___15,HOTA_TP___20,HOTA_TP___25,HOTA_TP___30,HOTA_TP___35,HOTA_TP___40,HOTA_TP___45,HOTA_TP___50,HOTA_TP___55,HOTA_TP___60,HOTA_TP___65,HOTA_TP___70,HOTA_TP___75,HOTA_TP___80,HOTA_TP___85,HOTA_TP___90,HOTA_TP___95,HOTA_TP___AUC,HOTA_FN___5,HOTA_FN___10,HOTA_FN___15,HOTA_FN___20,HOTA_FN___25,HOTA_FN___30,HOTA_FN___35,HOTA_FN___40,HOTA_FN___45,HOTA_FN___50,HOTA_FN___55,HOTA_FN___60,HOTA_FN___65,HOTA_FN___70,HOTA_FN___75,HOTA_FN___80,HOTA_FN___85,HOTA_FN___90,HOTA_FN___95,HOTA_FN___AUC,HOTA_FP___5,HOTA_FP___10,HOTA_FP___15,HOTA_FP___20,HOTA_FP___25,HOTA_FP___30,HOTA_FP___35,HOTA_FP___40,HOTA_FP___45,HOTA_FP___50,HOTA_FP___55,HOTA_FP___60,HOTA_FP___65,HOTA_FP___70,HOTA_FP___75,HOTA_FP___80,HOTA_FP___85,HOTA_FP___90,HOTA_FP___95,HOTA_FP___AUC,MOTA,MOTP,MODA,CLR_Re,CLR_Pr,MTR,PTR,MLR,sMOTA,CLR_F1,FP_per_frame,MOTAL,MOTP_sum,CLR_TP,CLR_FN,CLR_FP,IDSW,MT,PT,ML,Frag,CLR_Frames,IDF1,IDR,IDP,IDTP,IDFN,IDFP,Dets,GT_Dets,IDs,GT_IDs
MOT17-02-FRCNN,0.3556725613113227,0.8258228016142588,0.29372251103943575,0.3556725613113227,0.35565262555334287,0.35565262555334287,0.35559117476363483,0.3554340312057472,0.3549884851545272,0.35447355999666885,0.3528349485711684,0.35122719258138657,0.3476573271770866,0.3419661671309096,0.332673211234556,0.32685151306650584,0.3159369161192969,0.29990208271499325,0.26478390284730663,0.21376623552297963,0.13863543383080898,0.039579188448370675,0.3059620622517871,0.23785495732460143,0.23772207610970963,0.23772207610970963,0.23745639924872552,0.2371244635193133,0.23639483137633371,0.23573227586946038,0.23440929286440768,0.23315508021390374,0.2303916337637392,0.22321239125822193,0.21170721454469024,0.204177545691906,0.19364356333143537,0.1805057847855022,0.1554842912261362,0.11849444633069797,0.07230876540339456,0.020173420633516192,0.19671950050554762,0.5318492088315719,0.5320868475194169,0.5320868475194169,0.5324981089995222,0.5327723199208354,0.5330777490295076,0.5330263082272749,0.5310902968562379,0.529092227780015,0.5246094016758459,0.5238994968111912,0.5227571753335283,0.5232304621540922,0.5154632214453156,0.49827355574043924,0.450917032545,0.3856383557600343,0.2658015719979964,0.07765228251023676,0.47767486687670946,0.23846940423012755,0.23836176739680318,0.23836176739680318,0.23814649373015445,0.23787740164684354,0.23728539906355955,0.23674721489693773,0.2356708465636941,0.23464829664711265,0.232387923147301,0.22646789731446101,0.21683440073193047,0.21043000914913082,0.2013346967332221,0.189763737150853,0.16699854690275012,0.13147839190571015,0.08368763790969269,0.0245411979979549,0.20102594897447593,0.9892833221701273,0.9888367939272159,0.9888367939272159,0.9879437374413932,0.9868274168341148,0.9843715114981022,0.9821388702835454,0.9776735878544318,0.9734315695467738,0.9640544764456351,0.9394954230855102,0.899531145344943,0.872962714891717,0.8352310783657066,0.787229292252735,0.6927885688769815,0.5454342487162313,0.3471757088635856,0.10180843938379103,0.8339502473531453,0.5339519703655838,0.5341903534906017,0.5341903534906017,0.53460485666758,0.5349367341500911,0.5354846021802235,0.5357282964495644,0.5346540074797643,0.5337823900861448,0.5314474619839032,0.5330117651783965,0.5356539628861784,0.5384558288257606,0.5370316917233213,0.5292050985505461,0.5014700859805492,0.45615388685948804,0.35063147966577846,0.12499599387536355,0.4973463589415496,0.9831762545032501,0.9835407412254626,0.9835407412254626,0.9833676707090564,0.9833333015582747,0.982573788829226,0.9819356542073796,0.9797898232243499,0.9778694902937887,0.9715218913251287,0.9539198703226122,0.9388399660414244,0.9311040544076762,0.9173954363445975,0.8893676456987237,0.8126117970462997,0.6903257299502475,0.5199029341398185,0.17887688200429344,0.8759470354240565,0.8258228016142588,0.8261584228271313,0.8261584228271313,0.8267475820993783,0.8274305217794187,0.8288075410952837,0.8299442684170764,0.8320195760513588,0.8337924163160297,0.8372865501045736,0.8453326231805649,0.8572470646693765,0.8642679782535854,0.8728570536830242,0.8816829594609397,0.8957913387387946,0.9142639565586617,0.9366717912530775,0.9646961624726818,0.8593146858632813,0.35613166662111034,0.3561308206029373,0.3561308206029373,0.35610750845239675,0.35599788641525554,0.35565652870483166,0.3552358286260045,0.35378312546229956,0.352350095810696,0.34916026308702147,0.34445089264935086,0.3366774997557192,0.33181831013099555,0.3221500137619465,0.307496751301131,0.27441299023317955,0.22517351281287828,0.14914525038765208,0.04365409534140927,0.30956125582946065,4431.0,4429.0,4429.0,4425.0,4420.0,4409.0,4399.0,4379.0,4360.0,4318.0,4208.0,4029.0,3910.0,3741.0,3526.0,3103.0,2443.0,1555.0,456.0,3735.2631578947367,14150.0,14152.0,14152.0,14156.0,14161.0,14172.0,14182.0,14202.0,14221.0,14263.0,14373.0,14552.0,14671.0,14840.0,15055.0,15478.0,16138.0,17026.0,18125.0,14845.736842105263,48.0,50.0,50.0,54.0,59.0,70.0,80.0,100.0,119.0,161.0,271.0,450.0,569.0,738.0,953.0,1376.0,2036.0,2924.0,4023.0,743.7368421052631,0.22259297131478392,0.835690230674076,0.22576825789785265,0.23341047306388246,0.9682964947532932,0.11290322580645161,0.22580645161290322,0.6612903225806451,0.1842413503274026,0.3761491760624458,0.23666666666666666,0.22567295344644303,3624.3885304334676,4337,14244,142,59,7,14,41,117.0,600,0.32870771899392887,0.203971799149669,0.8461710203170351,3790,14791,689,4479,18581,76,62
MOT17-09-FRCNN,0.6610829295431443,0.8012361701754526,0.5296835546355175,0.6610829295431443,0.6610829295431443,0.6592141490669966,0.6563457091265388,0.6526483980313234,0.6491709137659527,0.6457243803288439,0.6348351505265655,0.625881080158437,0.6084788436663936,0.592511543372058,0.5690336327642257,0.5399662013061971,0.5021592491596479,0.4433832211842666,0.36387154316361403,0.2607980853794057,0.13696709947502425,0.022523595869147785,0.5202988766016278,0.7094961603296498,0.7094961603296498,0.7082163578513944,0.7056624929919642,0.702480880432755,0.699311115248557,0.6948932219127205,0.683327185540391,0.6691660570592538,0.6489611562782295,0.6298214285714285,0.5987038010159398,0.5636457084118554,0.5158611526324531,0.446205038821106,0.35858886573384935,0.24600682593856654,0.11604304230863292,0.017049253398707376,0.5485755739372159,0.6159732274383141,0.6159732274383141,0.6136024528556698,0.6104755377635251,0.6063509247261666,0.6026257356569188,0.6000345984140859,0.5897843329990932,0.5853959900802393,0.5705218249316227,0.5574118521585409,0.5408338391495043,0.5172815018401584,0.4888212850100889,0.44057924882948996,0.3692320442055811,0.27647867524842107,0.161664034011676,0.029755694223839394,0.494357685630592,0.7113615023474178,0.7113615023474178,0.7106103286384976,0.7091079812206573,0.7072300469483568,0.7053521126760564,0.7027230046948357,0.6957746478873239,0.6871361502347418,0.6745539906103286,0.6623474178403755,0.6418779342723004,0.6178403755868545,0.5832863849765259,0.5288262910798122,0.4523943661971831,0.3384037558685446,0.17821596244131455,0.02873239436619718,0.5814282184334074,0.9963177275118359,0.9963177275118359,0.9952656496580747,0.9931614939505523,0.9905312993161494,0.9879011046817464,0.9842188321935823,0.9744871120462915,0.9623882167280379,0.9447659126775382,0.927669647553919,0.8990005260389269,0.8653340347185692,0.8169384534455549,0.7406628090478695,0.6336138874276697,0.4739610731194108,0.24960547080483955,0.04024197790636507,0.8143359450704615,0.6182725920777272,0.6182725920777272,0.6168504316426757,0.6149240068944579,0.6123040481410758,0.6099305809225855,0.6086442781744746,0.6022515773700814,0.6006528764932312,0.5916132605850022,0.5830057961600886,0.5727972356008366,0.5578033964584923,0.5391821556040212,0.5046065876961969,0.445805670486074,0.36160204487703135,0.24248970021838892,0.052059846953239605,0.5238457199175478,0.9960299296372235,0.9960299296372235,0.9950070898549833,0.9929998430255592,0.9905335882091291,0.9881205944405969,0.9849257915245971,0.9763395918365572,0.9693453925319014,0.9558663378707539,0.9403976490515861,0.9166072060424929,0.8881412185325076,0.8541002230446241,0.7942464696361778,0.698032119967085,0.5491207167985789,0.32940534186157266,0.06939192830026615,0.8360337348317588,0.8012361701754526,0.8012361701754526,0.8019534834323151,0.8032882015024383,0.8048288071705098,0.806237183699746,0.8080627327669332,0.8123785710621867,0.8172140926739249,0.8235897725994274,0.8290324788669663,0.8371643424578412,0.8454225471022907,0.8554333970377996,0.8685724542071966,0.8841068040358512,0.903510094632875,0.9283740227328698,0.9604259780909051,0.8416877528643675,0.6619513883030285,0.6619513883030285,0.6603273738662935,0.6579461043034517,0.6548508173326703,0.6519688150506666,0.6493520739309343,0.6405911228091631,0.6342292542815972,0.6203610027539718,0.6076185488864134,0.5891937775111356,0.5653294591484294,0.5339689131710897,0.48269026309345503,0.4087034335775443,0.30587811644775326,0.16973836164384362,0.02923956807272175,0.536099462236168,3788.0,3788.0,3784.0,3776.0,3766.0,3756.0,3742.0,3705.0,3659.0,3592.0,3527.0,3418.0,3290.0,3106.0,2816.0,2409.0,1802.0,949.0,153.0,3096.1052631578946,1537.0,1537.0,1541.0,1549.0,1559.0,1569.0,1583.0,1620.0,1666.0,1733.0,1798.0,1907.0,2035.0,2219.0,2509.0,2916.0,3523.0,4376.0,5172.0,2228.8947368421054,14.0,14.0,18.0,26.0,36.0,46.0,60.0,97.0,143.0,210.0,275.0,384.0,512.0,696.0,986.0,1393.0,2000.0,2853.0,3649.0,705.8947368421053,0.6307981220657277,0.8229863648114281,0.6373708920187794,0.675680751173709,0.9463440294581799,0.46153846153846156,0.4230769230769231,0.11538461538461539,0.5111934160735245,0.7884299331653336,0.38857142857142857,0.6370809261888544,2961.1049405915182,3598,1727,204,35,12,11,3,70.0,525,0.6602388517585187,0.5658215962441314,0.7924776433456076,3013,2312,789,3802,5325,51,26
COMBINED,0.44235129418577873,0.8144912333103047,0.3602912511577843,0.44235129418577873,0.442332311419235,0.4417558801706668,0.440841077510585,0.43961052739674383,0.43825300024498615,0.4369082336974185,0.4326044796830106,0.42904355231052155,0.4215718879132928,0.41299046879627355,0.39981598038883365,0.3872795919925284,0.368802474637398,0.3405629449195811,0.29291384561870876,0.22703986494945283,0.1381777993231352,0.03557391267572647,0.3667594277807304,0.3429155540720961,0.3428035043804756,0.34257946108283976,0.3419077795380639,0.3410691221199117,0.3398967613021397,0.3385594277634534,0.3353939343650168,0.3318023833167825,0.3258227952382914,0.3163340422051366,0.30101050929668555,0.2881498379157162,0.2702052091554854,0.24538595473012187,0.20663542642924088,0.15192183809319304,0.08435805006232523,0.01928557856735702,0.27715985103338586,0.5706205657463231,0.5707580909334101,0.5696437756324549,0.5684013855527322,0.5666224330037669,0.5650706746599493,0.56382658115186,0.5579905200018687,0.5547831451333659,0.5454586335765729,0.5391804376399052,0.5310539440891354,0.5205121177884197,0.5033776577578885,0.4726559007008251,0.41521689885311674,0.33930013567006323,0.2263341105167592,0.0656191494924719,0.4866540083105731,0.34380490253492846,0.3437212415293232,0.3435539195181126,0.34305195348448086,0.34242449594244123,0.34154605538358573,0.3405421233163223,0.3381577846565716,0.33543880197439974,0.3308792771689116,0.3235589391784489,0.31151175437128753,0.30117962017903455,0.2864134526897013,0.26528904877436627,0.230569731448172,0.17757048439722245,0.10474357901781979,0.025474776206810004,0.28575957588273365,0.9925129815239705,0.9922714647989374,0.991788431348871,0.9903393309986717,0.9885279555609225,0.9859920299480739,0.9830938292476754,0.976210602584229,0.9683613090206497,0.9551986475063398,0.9340659340659341,0.899287525661152,0.8694602101195508,0.8268325081511895,0.7658495350803043,0.6656200941915228,0.5126192488829852,0.3023789397415771,0.073541842772612,0.8249448642739562,0.5728139383721051,0.5729518868687241,0.5722745779795154,0.5715863359087323,0.570529857102699,0.5697306641711987,0.5692440320612355,0.5656348333634389,0.5642948118050036,0.5587692759630621,0.5558080091696607,0.5527018621931076,0.5472965923690505,0.5380072052056426,0.5182827701737175,0.4771421511245639,0.41601668562217664,0.3096464362570034,0.10667213430379545,0.5110212663165491,0.9891002989621248,0.9892982008462184,0.9888236662484879,0.9878026277468707,0.9866458204352742,0.9851253873443894,0.9833100669135617,0.9782085383045365,0.9739800185752769,0.9644125679359865,0.9477540171328372,0.9286356456874097,0.9114724252369394,0.8886828713512109,0.8471315637384385,0.7625351566101916,0.6303842850269714,0.4477055639033747,0.15137080989145899,0.8601252385206086,0.8144912333103047,0.81466937657612,0.8150064088651218,0.8159461406734491,0.8170325182102578,0.8184249002651992,0.8198864491807619,0.8230178537004331,0.8262278713345531,0.8310667239606438,0.8379000945452627,0.8480295617126117,0.8556566631858411,0.8649531720501825,0.8758615809061397,0.8906846543956539,0.9096989485044172,0.9335269900048039,0.9636233575294767,0.8513528683637491,0.4429245398381539,0.44292401112215407,0.44238371562211265,0.44157808559432654,0.4404831449794584,0.4393149894358798,0.4381856925181801,0.4343832847879857,0.4313882167597138,0.4248305054999683,0.4176800814361867,0.4067303108805615,0.3959389371280641,0.3797026902265661,0.35410511757741264,0.30941307157472503,0.2454581215746923,0.1539709218954674,0.040885610527445125,0.3727516341567924,8219.0,8217.0,8213.0,8201.0,8186.0,8165.0,8141.0,8084.0,8019.0,7910.0,7735.0,7447.0,7200.0,6847.0,6342.0,5512.0,4245.0,2504.0,609.0,6831.368421052632,15687.0,15689.0,15693.0,15705.0,15720.0,15741.0,15765.0,15822.0,15887.0,15996.0,16171.0,16459.0,16706.0,17059.0,17564.0,18394.0,19661.0,21402.0,23297.0,17074.63157894737,62.0,64.0,68.0,80.0,95.0,116.0,140.0,197.0,262.0,371.0,546.0,834.0,1081.0,1434.0,1939.0,2769.0,4036.0,5777.0,7672.0,1449.6315789473683,0.31351961850581445,0.8299298640233126,0.31745168576926297,0.3319250397389777,0.9582176065692549,0.2159090909090909,0.2840909090909091,0.5,0.25706908186333916,0.493056202814801,0.3075555555555556,0.31736914883905293,6585.493471024985,7935,15971,346,94,19,25,44,187.0,1125,0.4227172460931432,0.284572910566385,0.8215191402004589,6803,17103,1478,8281,23906,127,88
